method,condition,split,class_id,class_name,iou,dice,accuracy,classwise_ece
clean_global,color_s1,confirmation,7,seafloor_rocks,0.1454568371181729,0.2539717471749075,0.1900857518236775,0.0174241082224278
pooled,color_s1,confirmation,0,background_waterbody,0.7179332182375597,0.8358103919477063,0.8684300701673315,0.0345221363850931
pooled,color_s1,confirmation,1,human_divers,0.6090432596026503,0.757025339086349,0.752668570273297,0.0050981325837897
pooled,color_s1,confirmation,2,aquatic_plants,0.0598860084266764,0.1130046211584072,0.0764691465428687,0.0096166916977194
pooled,color_s1,confirmation,3,wrecks_ruins,0.4612284866058144,0.6312886599646984,0.7185896219498521,0.0128043575617396
pooled,color_s1,confirmation,4,robots_instruments,0.5726413182148776,0.7282541944973048,0.7894883919716388,0.004620084672371
pooled,color_s1,confirmation,5,reefs_invertebrates,0.5402145813468447,0.7014796352264795,0.6960007669272538,0.0229959058370542
pooled,color_s1,confirmation,6,fish_vertebrates,0.5908358963637295,0.742799301567483,0.7239396197779342,0.0212351727560206
pooled,color_s1,confirmation,7,seafloor_rocks,0.1454568371181729,0.2539717471749075,0.1900857518236775,0.0158338694095851
per_degradation,color_s1,confirmation,0,background_waterbody,0.7179332182375597,0.8358103919477063,0.8684300701673315,0.0306796078805493
per_degradation,color_s1,confirmation,1,human_divers,0.6090432596026503,0.757025339086349,0.752668570273297,0.0043085751892676
per_degradation,color_s1,confirmation,2,aquatic_plants,0.0598860084266764,0.1130046211584072,0.0764691465428687,0.0104258445485966
per_degradation,color_s1,confirmation,3,wrecks_ruins,0.4612284866058144,0.6312886599646984,0.7185896219498521,0.011879198286228
per_degradation,color_s1,confirmation,4,robots_instruments,0.5726413182148776,0.7282541944973048,0.7894883919716388,0.0040301326672227
per_degradation,color_s1,confirmation,5,reefs_invertebrates,0.5402145813468447,0.7014796352264795,0.6960007669272538,0.0217670474811619
per_degradation,color_s1,confirmation,6,fish_vertebrates,0.5908358963637295,0.742799301567483,0.7239396197779342,0.0188378693254372
per_degradation,color_s1,confirmation,7,seafloor_rocks,0.1454568371181729,0.2539717471749075,0.1900857518236775,0.0168999090052667
raw,color_s2,confirmation,0,background_waterbody,0.7129787854078127,0.8324432170221795,0.8665240663516128,0.088875906115856
raw,color_s2,confirmation,1,human_divers,0.5891711121464396,0.7414822829879737,0.733964158585425,0.0024929436746172
raw,color_s2,confirmation,2,aquatic_plants,0.0559633988399728,0.10599495948714,0.0719792346023496,0.0202556948011748
raw,color_s2,confirmation,3,wrecks_ruins,0.4759656973738166,0.6449549582631922,0.7195836963178278,0.0055484004464479
raw,color_s2,confirmation,4,robots_instruments,0.5518147021297478,0.7111863309097717,0.7701845997052104,0.0007979696973138
raw,color_s2,confirmation,5,reefs_invertebrates,0.5311598824117908,0.6938006781827901,0.6879112649852451,0.0798746166488753
raw,color_s2,confirmation,6,fish_vertebrates,0.585090096070647,0.7382420690420738,0.7136190478933959,0.0110287994199003
raw,color_s2,confirmation,7,seafloor_rocks,0.1419642106533291,0.248631628432751,0.1855774653423052,0.0385991784662532
clean_global,color_s2,confirmation,0,background_waterbody,0.7129787854078127,0.8324432170221795,0.8665240663516128,0.0282272199097103
clean_global,color_s2,confirmation,1,human_divers,0.5891711121464396,0.7414822829879737,0.733964158585425,0.0038633965915492
clean_global,color_s2,confirmation,2,aquatic_plants,0.0559633988399728,0.10599495948714,0.0719792346023496,0.0106185778962315
clean_global,color_s2,confirmation,3,wrecks_ruins,0.4759656973738166,0.6449549582631922,0.7195836963178278,0.0114781295674082
clean_global,color_s2,confirmation,4,robots_instruments,0.5518147021297478,0.7111863309097717,0.7701845997052104,0.0040016899211046
clean_global,color_s2,confirmation,5,reefs_invertebrates,0.5311598824117908,0.6938006781827901,0.6879112649852451,0.0215056374185639
clean_global,color_s2,confirmation,6,fish_vertebrates,0.585090096070647,0.7382420690420738,0.7136190478933959,0.0180428732424228
clean_global,color_s2,confirmation,7,seafloor_rocks,0.1419642106533291,0.248631628432751,0.1855774653423052,0.0161942734734852
pooled,color_s2,confirmation,0,background_waterbody,0.7129787854078127,0.8324432170221795,0.8665240663516128,0.0320744518223133
pooled,color_s2,confirmation,1,human_divers,0.5891711121464396,0.7414822829879737,0.733964158585425,0.0049894912914425
pooled,color_s2,confirmation,2,aquatic_plants,0.0559633988399728,0.10599495948714,0.0719792346023496,0.0094402716904277
pooled,color_s2,confirmation,3,wrecks_ruins,0.4759656973738166,0.6449549582631922,0.7195836963178278,0.0128563133240512
pooled,color_s2,confirmation,4,robots_instruments,0.5518147021297478,0.7111863309097717,0.7701845997052104,0.0048693532111521
pooled,color_s2,confirmation,5,reefs_invertebrates,0.5311598824117908,0.6938006781827901,0.6879112649852451,0.0208599332629483
pooled,color_s2,confirmation,6,fish_vertebrates,0.585090096070647,0.7382420690420738,0.7136190478933959,0.0215078549421207
pooled,color_s2,confirmation,7,seafloor_rocks,0.1419642106533291,0.248631628432751,0.1855774653423052,0.0144102131908608
per_degradation,color_s2,confirmation,0,background_waterbody,0.7129787854078127,0.8324432170221795,0.8665240663516128,0.0290720366974291
per_degradation,color_s2,confirmation,1,human_divers,0.5891711121464396,0.7414822829879737,0.733964158585425,0.0041898935729937
per_degradation,color_s2,confirmation,2,aquatic_plants,0.0559633988399728,0.10599495948714,0.0719792346023496,0.0102599935817618
per_degradation,color_s2,confirmation,3,wrecks_ruins,0.4759656973738166,0.6449549582631922,0.7195836963178278,0.0118790802402291
