condition,degradation_type,severity,split,class_id,class_name,iou,dice,accuracy,classwise_ece
lowlight_s3,lowlight,3,calibration,0,background_waterbody,0.7197475826778077,0.8370386327941144,0.9701603367833314,0.09390880806262417
lowlight_s3,lowlight,3,calibration,1,human_divers,0.5367649551092512,0.6985648043634515,0.5832618379090405,0.007076626588482899
lowlight_s3,lowlight,3,calibration,2,aquatic_plants,0.1719293572998604,0.2934124932171471,0.2994935633280422,0.02157377489240522
lowlight_s3,lowlight,3,calibration,3,wrecks_ruins,0.5007398498107235,0.667323986730782,0.6162435567159447,0.03103363694336847
lowlight_s3,lowlight,3,calibration,4,robots_instruments,0.7441848397182258,0.8533325399599843,0.9161822014949211,0.0006561361165019817
lowlight_s3,lowlight,3,calibration,5,reefs_invertebrates,0.6662840699959591,0.7997244671463191,0.751504493703609,0.094431501706541
lowlight_s3,lowlight,3,calibration,6,fish_vertebrates,0.6134854342998306,0.7604474403774851,0.6894131154383599,0.01910640908798784
lowlight_s3,lowlight,3,calibration,7,seafloor_rocks,0.4252982330949537,0.5967849018818229,0.5665897788029493,0.08226879013751134
blur_s1,blur,1,val,0,background_waterbody,0.849932690464317,0.9188795839387986,0.8959863219965468,0.025628337812896328
blur_s1,blur,1,val,1,human_divers,0.7547060936972639,0.8602079817333466,0.8705682888540032,0.0014360466552446453
blur_s1,blur,1,val,2,aquatic_plants,0.11681468061050575,0.20919259504477342,0.15423099203182408,0.021831989319183676
blur_s1,blur,1,val,3,wrecks_ruins,0.666145539379852,0.7996246709969824,0.754425675525194,0.01621753225225549
blur_s1,blur,1,val,4,robots_instruments,0.2461777553763441,0.39509252081296975,0.25890096298259563,0.0013802420638264073
blur_s1,blur,1,val,5,reefs_invertebrates,0.7948196522508978,0.8856819137834914,0.9200691540631543,0.061160214858205275
blur_s1,blur,1,val,6,fish_vertebrates,0.647196480593366,0.7858157642010355,0.8182546334589768,0.01387595053889842
blur_s1,blur,1,val,7,seafloor_rocks,0.6265240202840793,0.7703839752389937,0.7665819129847004,0.046635608686280805
blur_s1,blur,1,calibration,0,background_waterbody,0.877421856883551,0.9347093234975308,0.9511427563364379,0.019688280100850587
blur_s1,blur,1,calibration,1,human_divers,0.7584688934820681,0.8626469268730372,0.8331773433166944,0.0019933465543186496
