condition,boundary_radius,method,region,pixels,error_rate,nll,brier_score,ece,error_auroc,aurc,oracle_aurc,eaurc,mean_wrong_confidence
lowlight_s2,1,clean_global,boundary,762735,0.48368043947111383,1.213124220399082,0.6353810795299973,0.08864189677690008,0.5565330847548775,0.45356536453578,0.14237802921662143,0.31118733531915854,0.583676278591156
lowlight_s2,1,clean_global,interior,20765841,0.15312141704253635,0.5063592374641845,0.23522206436432072,0.019338848021277392,0.7943711144562726,0.05995865586897543,0.01237193763190207,0.04758671823707336,0.6718905568122864
lowlight_s2,3,raw,boundary,2127005,0.38339778232773314,1.4362973277713262,0.5860434971852293,0.19159342597514772,0.6139626799755984,0.3238690689093778,0.08525139248968269,0.23861767641969509,0.7640016674995422
lowlight_s2,3,raw,interior,19401571,0.140871375828277,0.6917584784435755,0.23347077156672325,0.09077349205267744,0.801097886810509,0.05337248217655318,0.010424179848962349,0.04294830232759083,0.8400709629058838
lowlight_s2,3,clean_global,boundary,2127005,0.38339778232773314,1.0554085274100202,0.5393567044866197,0.06064995339692611,0.6154745697212934,0.32253704039375386,0.08525139248968269,0.23728564790407117,0.5843393206596375
lowlight_s2,3,clean_global,interior,19401571,0.140871375828277,0.4739517553919989,0.21761108882545516,0.016785989742369674,0.7968599978949316,0.054711543534899564,0.010424179848962349,0.04428736368593721,0.6861061453819275
lowlight_s2,5,raw,boundary,3278017,0.33158217300276355,1.29104908475345,0.5139497419357305,0.16464751076700607,0.6510053703898391,0.2536911546758326,0.06231552475922032,0.19137562991661228,0.7712682485580444
lowlight_s2,5,raw,interior,18250559,0.13488260825325954,0.6708907865143164,0.22418388209326562,0.08925486009039835,0.8055685272858599,0.05022687859088472,0.009535690313256477,0.04069118827762824,0.8452503085136414
lowlight_s2,5,clean_global,boundary,3278017,0.33158217300276355,0.9603724080985928,0.4818092005014007,0.060123219249532296,0.6526697598140878,0.25236059165145375,0.06231552475922032,0.19004506689223344,0.5917145609855652
lowlight_s2,5,clean_global,interior,18250559,0.13488260825325954,0.45435050184627224,0.20765569865986708,0.013744259774952755,0.8011439775258842,0.05157209366915402,0.009535690313256477,0.04203640335589755,0.6940712332725525
lowlight_s3,1,raw,boundary,762735,0.5226520351104905,2.116544990539801,0.803342969451628,0.3149522962663622,0.5551009516426588,0.4911379213658938,0.16964864785785003,0.3214892735080438,0.774973452091217
lowlight_s3,1,raw,interior,20765841,0.21795683594033105,1.153598277206483,0.3650760535655647,0.14763657736131558,0.7391729431193347,0.11387908854990873,0.02569516606812982,0.08818392248177892,0.8446297645568848
lowlight_s3,1,clean_global,boundary,762735,0.5226520351104905,1.3848660730381457,0.6922669379278394,0.13048114177821957,0.5593147688843776,0.4887805756153867,0.16964864785785003,0.3191319277575366,0.5913017988204956
lowlight_s3,1,clean_global,interior,20765841,0.21795683594033105,0.7196586523241462,0.3332031830693734,0.04003709940200366,0.7342478523264191,0.1172012145310884,0.02569516606812982,0.09150604846295857,0.6938307285308838
lowlight_s3,3,raw,boundary,2127005,0.444047851321459,1.850912785818557,0.6901049337125441,0.2534481737283071,0.5969855187927003,0.39292257598615227,0.11766332665131722,0.27525924933483503,0.7738008499145508
lowlight_s3,3,raw,interior,19401571,0.20514885109046066,1.1150076664539175,0.3466725697915133,0.1426146016036648,0.7394480206759704,0.10686239161241123,0.022650696694939007,0.08421169491747223,0.8544607758522034
lowlight_s3,3,clean_global,boundary,2127005,0.444047851321459,1.247983224578104,0.6146083158890082,0.07016836901870321,0.6000894913184291,0.3907191016634088,0.11766332665131722,0.27305577501209155,0.5914573669433594
lowlight_s3,3,clean_global,interior,19401571,0.20514885109046066,0.6878894731320985,0.316468472933197,0.039188791518373116,0.7337911545019481,0.11041801191846515,0.022650696694939007,0.08776731522352614,0.7078547477722168
lowlight_s3,5,raw,boundary,3278017,0.3986965290295932,1.7009872609578063,0.6250572739913147,0.22623378779357542,0.6268282061384561,0.3314686879732418,0.09284019420850106,0.23862849376474074,0.7784168124198914
lowlight_s3,5,raw,interior,18250559,0.19822779126929757,1.0955245766376251,0.3366965696434285,0.14051321707351272,0.7414215923615657,0.10251021407564317,0.021091663503278308,0.08141855057236487,0.8608739972114563
lowlight_s3,5,clean_global,boundary,3278017,0.3986965290295932,1.1583611235323443,0.5643010695257034,0.04951691533669253,0.6297167778102195,0.3295478572695298,0.09284019420850106,0.23670766306102872,0.5966535806655884
lowlight_s3,5,clean_global,interior,18250559,0.19822779126929757,0.66866310608623,0.30670139679009284,0.04075678002361882,0.7353278945813471,0.10619733276495266,0.021091663503278308,0.08510566926167436,0.7176387310028076
blur_s1,1,raw,boundary,762735,0.47530531573875595,1.7247145225375213,0.7180857215061178,0.26335172783518324,0.543389827023846,0.45477436351151745,0.1369093875292416,0.31786497598227587,0.7733222246170044
blur_s1,1,raw,interior,20765841,0.1336921052222253,0.716306684933324,0.22659466021852306,0.0861032798373837,0.7877858880770796,0.05311592536649788,0.009364017008269705,0.043751908358228175,0.8510191440582275
blur_s1,1,clean_global,boundary,762735,0.47530531573875595,1.2011052446643493,0.6293137870521053,0.0960923428946806,0.5459809080352767,0.4531539298192504,0.1369093875292416,0.3162445422900088,0.5936986207962036
blur_s1,1,clean_global,interior,20765841,0.1336921052222253,0.47897563103150986,0.21537104596362724,0.019345846385857388,0.7827412193764736,0.053991401420999695,0.009364017008269705,0.04462738441272999,0.7036091089248657
blur_s1,3,raw,boundary,2127005,0.37111384317385243,1.427081358787062,0.5724983886067939,0.18842682734831226,0.6068534508719856,0.31833797730691593,0.07943328071786755,0.2389046965890484,0.7754416465759277
blur_s1,3,raw,interior,19401571,0.1210932867240493,0.6780276279721111,0.20799505887145686,0.08185368502655939,0.7879806511676516,0.04824630334504833,0.007647071014695742,0.040599232330352585,0.8644227385520935
blur_s1,3,clean_global,boundary,2127005,0.37111384317385243,1.038937868053466,0.5284909318465107,0.06571012338726447,0.6070327682056289,0.3173491611922028,0.07943328071786755,0.23791588047433526,0.5968529582023621
